question_id,question,temperature,model,mode,response,answer_relevancy,faithfulness,llm_context_precision_without_reference,nv_context_relevance,nv_response_groundedness,total_response_time,total_retrieval_time
1,What transcription factors drive an SCLC neuroendocrine phenotype,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
2,Is there a relationship between Inflammatory and Non-neuroendocrine SCLC subtype,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
3,Rank molecular targets that are most likely to interfere with the transition from neuroendocrine to non-neuroendocrine SCLC subtype,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
4,Are there unique gene regulatory networks that drive treatment resistance in SCLC,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
5,Elaborate on strategies that could inhibit phenotypic plasticity in SCLC,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
6,List molecular pathways that promote the affinity of SCLC metastasis for brain,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
7,What drives the sensitivity of SCLC tumors to chemotherapy,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
8,What components of cigarette smoke are directly responsible for SCLC initiation,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
9,Why does SCLC initiation require biallelic inactivation of both RB and TP53 gene products,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
10,"Make a list of mechanisms that inactivate RB and TP53 in SCLC, with relative frequencies",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
11,"Will MYC inhibition block SCLC plasticity, and if so, are there any precedents for that in other cancer types.",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
12,What is the cell of origin of SCLC,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
13,Does COPD always precede SCLC initiation,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
14,Why does SCLC only occur in a small percentage of heavy smokers,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
15,What is the most sensitive and accurate test for early detection of SCLC,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
16,Why does SCLC have a poor response to immunotherapy,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
17,What are the predominant genetic mutations driving the onset and progression of small cell lung cancer (SCLC)?,0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
18,"How do mutational events in TP53, RB1, and other tumor suppressor genes contribute to the initiation and evolution of SCLC?",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
19,"Are there lesser-known or novel driver mutations (e.g., CREBBP, EP300, TP73, SOX family, FGFR1, MYC) with significant functional impact in SCLC pathogenesis?",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
20,"Which molecular subtypes can be identified within SCLC based on genetic and transcriptomic profiling, and how do these subtypes correlate with clinical features and therapy response?",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
21,"How do different driver alterations (e.g., NOTCH pathway disruption, MYC amplification, ALK rearrangements) affect the phenotype and biology of SCLC subtypes?",0.0,llama-4-scout,graph_vector_fulltext,Error parsing response: 'list' object has no attribute 'get',0,0,0,0,0,{},{}
